# Balance Sheet data for AAPL (quarterly)
# Data retrieved on: 2026-06-20 23:11:22

,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Inventory,6747000000.0,5875000000.0,5718000000.0,5925000000.0,6269000000.0,,
Finished Goods,,,,3637000000.0,3596000000.0,4119000000.0,
Raw Materials,,,,2288000000.0,2673000000.0,2792000000.0,
Receivables,53511000000.0,70320000000.0,72957000000.0,46835000000.0,49798000000.0,,
Other Receivables,23172000000.0,30399000000.0,33180000000.0,19278000000.0,23662000000.0,,
Accounts Receivable,30339000000.0,39921000000.0,39777000000.0,27557000000.0,26136000000.0,,
Cash Cash Equivalents And Short Term Investments,68507000000.0,66907000000.0,54697000000.0,55372000000.0,48498000000.0,,
Other Short Term Investments,22935000000.0,21590000000.0,18763000000.0,19103000000.0,20336000000.0,,
Cash And Cash Equivalents,45572000000.0,45317000000.0,35934000000.0,36269000000.0,28162000000.0,,
Cash Equivalents,15832000000.0,14491000000.0,7667000000.0,9583000000.0,3101000000.0,,
Cash Financial,29740000000.0,30826000000.0,28267000000.0,26686000000.0,25061000000.0,,
